#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view;heading smoothing strategy;orientation smoothing strategy
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193342.791;20180608-193339.121;37.7882347;-122.399895;65;304.6;307.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193343.783;20180608-193339.121;37.7882347;-122.399895;65;306;306.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193344.783;20180608-193339.121;37.7882347;-122.399895;65;306;306;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-193345.784;20180608-193345.521;37.7881851;-122.399849;65;306;305.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193346.785;20180608-193345.521;37.7881851;-122.399849;65;306;306;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193347.785;20180608-193345.521;37.7881851;-122.399849;65;306;306.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193348.785;20180608-193345.521;37.7881851;-122.399849;65;308.2;306.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193349.786;20180608-193345.521;37.7881851;-122.399849;65;307;307.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193350.786;20180608-193345.521;37.7881851;-122.399849;65;309.4;308;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193351.787;20180608-193345.521;37.7881851;-122.399849;65;309.6;309;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-193352.788;20180608-193351.922;37.78819;-122.399887;65;310.7;309.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193353.788;20180608-193351.922;37.78819;-122.399887;65;309.9;308.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193354.788;20180608-193351.922;37.78819;-122.399887;65;301.4;307.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193355.789;20180608-193351.922;37.78819;-122.399887;65;304;306.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193356.789;20180608-193351.922;37.78819;-122.399887;65;306.4;305.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193357.790;20180608-193351.922;37.78819;-122.399887;65;304.8;303.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-193358.791;20180608-193358.325;37.7881851;-122.399864;65;301;303.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193359.791;20180608-193358.325;37.7881851;-122.399864;65;301.4;303.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193400.791;20180608-193358.325;37.7881851;-122.399864;65;302.7;302.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193401.792;20180608-193358.325;37.7881851;-122.399864;65;303.7;302.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-193402.793;20180608-193402.566;37.78819;-122.399849;65;71.9;302.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193403.793;20180608-193402.566;37.78819;-122.399849;65;71.9;303.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193404.794;20180608-193402.566;37.78819;-122.399849;65;71.9;303.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193405.794;20180608-193402.566;37.78819;-122.399849;65;71.9;303.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-193406.795;20180608-193402.566;37.78819;-122.399849;65;71.9;303.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
