#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view;heading smoothing strategy;orientation smoothing strategy
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193342.796;20180608-193339.121;37.7882347;-122.399895;65;304.6;306;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193343.784;20180608-193339.121;37.7882347;-122.399895;65;306;306;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193344.784;20180608-193339.121;37.7882347;-122.399895;65;306;306;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-193345.785;20180608-193345.521;37.7881851;-122.399849;65;306;306;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193346.786;20180608-193345.521;37.7881851;-122.399849;65;306;306;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193347.786;20180608-193345.521;37.7881851;-122.399849;65;306;308.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193348.786;20180608-193345.521;37.7881851;-122.399849;65;308.2;307;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193349.787;20180608-193345.521;37.7881851;-122.399849;65;307;309.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193350.787;20180608-193345.521;37.7881851;-122.399849;65;309.4;309.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193351.787;20180608-193345.521;37.7881851;-122.399849;65;309.6;310.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-193352.789;20180608-193351.922;37.78819;-122.399887;65;310.7;309.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193353.789;20180608-193351.922;37.78819;-122.399887;65;309.9;301.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193354.789;20180608-193351.922;37.78819;-122.399887;65;301.4;304;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193355.790;20180608-193351.922;37.78819;-122.399887;65;304;306.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193356.790;20180608-193351.922;37.78819;-122.399887;65;306.4;304.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193357.791;20180608-193351.922;37.78819;-122.399887;65;304.8;301;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-193358.791;20180608-193358.325;37.7881851;-122.399864;65;301;301.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193359.791;20180608-193358.325;37.7881851;-122.399864;65;301.4;302.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193400.792;20180608-193358.325;37.7881851;-122.399864;65;302.7;303.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193401.793;20180608-193358.325;37.7881851;-122.399864;65;303.7;302.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-193402.793;20180608-193402.566;37.78819;-122.399849;65;71.9;302.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193403.794;20180608-193402.566;37.78819;-122.399849;65;71.9;303.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193404.794;20180608-193402.566;37.78819;-122.399849;65;71.9;302.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193405.795;20180608-193402.566;37.78819;-122.399849;65;71.9;303.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193406.795;20180608-193402.566;37.78819;-122.399849;65;71.9;303.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193407.796;20180608-193402.566;37.78819;-122.399849;65;71.9;304.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193408.796;20180608-193402.566;37.78819;-122.399849;65;71.9;303.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-193409.797;20180608-193409.612;37.7882576;-122.399963;65;300.7;301.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193410.797;20180608-193409.612;37.7882576;-122.399963;65;300.7;298.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193411.798;20180608-193409.612;37.7882576;-122.399963;65;300.7;298.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193412.798;20180608-193409.612;37.7882576;-122.399963;65;300.7;298.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193413.799;20180608-193409.612;37.7882576;-122.399963;65;300.7;297.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193414.799;20180608-193409.612;37.7882576;-122.399963;65;300.7;299.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193415.801;20180608-193409.612;37.7882576;-122.399963;65;300.7;300.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-193416.800;20180608-193416.018;37.7883224;-122.400055;65;305.2;300.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193417.801;20180608-193416.018;37.7883224;-122.400055;65;305.2;301.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193418.802;20180608-193416.018;37.7883224;-122.400055;65;305.2;301.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193419.803;20180608-193416.018;37.7883224;-122.400055;65;305.2;301.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193420.803;20180608-193416.018;37.7883224;-122.400055;65;305.2;302;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193421.803;20180608-193416.018;37.7883224;-122.400055;65;305.2;302.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-193422.804;20180608-193422.420;37.7884254;-122.400185;65;308.4;302.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193423.804;20180608-193422.420;37.7884254;-122.400185;65;308.4;304.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193424.805;20180608-193422.420;37.7884254;-122.400185;65;308.4;303.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193425.805;20180608-193422.420;37.7884254;-122.400185;65;308.4;303.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193426.805;20180608-193422.420;37.7884254;-122.400185;65;308.4;302.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193427.806;20180608-193422.420;37.7884254;-122.400185;65;308.4;300;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193428.806;20180608-193422.420;37.7884254;-122.400185;65;308.4;300.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-193429.807;20180608-193428.826;37.7886124;-122.400421;65;308.4;299.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193430.808;20180608-193428.826;37.7886124;-122.400421;65;308.4;303.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193431.808;20180608-193428.826;37.7886124;-122.400421;65;308.4;304.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193432.809;20180608-193428.826;37.7886124;-122.400421;65;308.4;304.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193433.810;20180608-193428.826;37.7886124;-122.400421;65;308.4;302.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193434.810;20180608-193428.826;37.7886124;-122.400421;65;308.4;298.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-193435.811;20180608-193435.227;37.78883;-122.400711;65;306.9;296;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193436.811;20180608-193435.227;37.78883;-122.400711;65;306.9;299.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193437.811;20180608-193435.227;37.78883;-122.400711;65;306.9;294.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193438.811;20180608-193435.227;37.78883;-122.400711;65;306.9;297.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193439.812;20180608-193435.227;37.78883;-122.400711;65;306.9;303.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193440.813;20180608-193435.227;37.78883;-122.400711;65;306.9;306.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-193441.813;20180608-193441.629;37.7888;-122.400711;65;180;296.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193442.814;20180608-193441.629;37.7888;-122.400711;65;180;288.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193443.814;20180608-193441.629;37.7888;-122.400711;65;180;296.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193444.815;20180608-193441.629;37.7888;-122.400711;65;180;300.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193445.815;20180608-193441.629;37.7888;-122.400711;65;180;302.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193446.816;20180608-193441.629;37.7888;-122.400711;65;180;304.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193447.816;20180608-193441.629;37.7888;-122.400711;65;180;304.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-193448.817;20180608-193448.010;37.7888222;-122.400681;65;53.5;300.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193449.818;20180608-193448.010;37.7888222;-122.400681;65;53.5;304;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193450.818;20180608-193448.010;37.7888222;-122.400681;65;53.5;296.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193451.818;20180608-193448.010;37.7888222;-122.400681;65;53.5;301.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193452.819;20180608-193448.010;37.7888222;-122.400681;65;53.5;301.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193453.819;20180608-193448.010;37.7888222;-122.400681;65;53.5;303.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-193454.820;20180608-193454.414;37.78887;-122.400749;65;305.1;305.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193455.820;20180608-193454.414;37.78887;-122.400749;65;305.1;302.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193456.821;20180608-193454.414;37.78887;-122.400749;65;305.1;297.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193457.821;20180608-193454.414;37.78887;-122.400749;65;305.1;303.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193458.822;20180608-193454.414;37.78887;-122.400749;65;305.1;305.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-193459.822;20180608-193454.414;37.78887;-122.400749;65;305.1;305.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
