#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view;heading smoothing strategy;orientation smoothing strategy
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204748.874;20180608-204743.207;37.7882843;-122.400009;65;272.5;269.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204749.869;20180608-204749.607;37.78817;-122.399834;65;267.4;267.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204750.869;20180608-204749.607;37.78817;-122.399834;65;258.2;266.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204751.870;20180608-204749.607;37.78817;-122.399834;65;264.1;265.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204752.870;20180608-204749.607;37.78817;-122.399834;65;263.2;263.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204753.871;20180608-204749.607;37.78817;-122.399834;65;266;263.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204754.871;20180608-204749.607;37.78817;-122.399834;65;266.4;266.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204755.872;20180608-204749.607;37.78817;-122.399834;65;273;268.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204756.872;20180608-204756.008;37.7882042;-122.399986;65;272.5;269.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204757.873;20180608-204756.008;37.7882042;-122.399986;65;270.7;270.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204758.873;20180608-204756.008;37.7882042;-122.399986;65;270.2;271.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204759.874;20180608-204756.008;37.7882042;-122.399986;65;269.2;271.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204800.874;20180608-204756.008;37.7882042;-122.399986;65;275.9;272.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204801.875;20180608-204756.008;37.7882042;-122.399986;65;278.4;274.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204802.875;20180608-204802.418;37.78825;-122.400017;65;277.6;276;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204803.876;20180608-204803.714;37.7882652;-122.400009;65;27.8;278.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204804.877;20180608-204803.714;37.7882652;-122.400009;65;27.8;278.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204805.877;20180608-204803.714;37.7882652;-122.400009;65;27.8;279.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204806.877;20180608-204803.714;37.7882652;-122.400009;65;27.8;279.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204807.878;20180608-204803.714;37.7882652;-122.400009;65;27.8;279.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204808.878;20180608-204803.714;37.7882652;-122.400009;65;27.8;279.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204809.879;20180608-204803.714;37.7882652;-122.400009;65;27.8;280.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204810.879;20180608-204810.060;37.7883224;-122.400093;65;14.2;280.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204811.880;20180608-204810.060;37.7883224;-122.400093;65;356.1;282;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204812.881;20180608-204810.060;37.7883224;-122.400093;65;335.9;282.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204813.881;20180608-204810.060;37.7883224;-122.400093;65;317.8;283.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204814.882;20180608-204810.060;37.7883224;-122.400093;65;304.3;283.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204815.882;20180608-204810.060;37.7883224;-122.400093;65;304.3;283.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204816.882;20180608-204816.463;37.7884026;-122.400345;65;301;283.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204817.883;20180608-204816.463;37.7884026;-122.400345;65;297.6;282.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204818.884;20180608-204816.463;37.7884026;-122.400345;65;294.3;281.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204819.884;20180608-204816.463;37.7884026;-122.400345;65;291;280.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204820.884;20180608-204816.463;37.7884026;-122.400345;65;287.7;279.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204821.885;20180608-204816.463;37.7884026;-122.400345;65;287.7;278.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204822.886;20180608-204816.463;37.7884026;-122.400345;65;287.7;278.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204823.886;20180608-204822.870;37.78862;-122.400589;65;292.4;280.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204824.887;20180608-204822.870;37.78862;-122.400589;65;297.2;280.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204825.887;20180608-204822.870;37.78862;-122.400589;65;302.1;281.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204826.888;20180608-204822.870;37.78862;-122.400589;65;307;281.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204827.888;20180608-204822.870;37.78862;-122.400589;65;311.7;280.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204828.889;20180608-204822.870;37.78862;-122.400589;65;311.7;280.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204829.889;20180608-204829.276;37.788723;-122.400696;65;312.1;279.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204830.889;20180608-204829.276;37.788723;-122.400696;65;312.6;278.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204831.890;20180608-204829.276;37.788723;-122.400696;65;313;278.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204832.891;20180608-204829.276;37.788723;-122.400696;65;313.5;278;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204833.891;20180608-204829.276;37.788723;-122.400696;65;313.9;276.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204834.892;20180608-204829.276;37.788723;-122.400696;65;313.9;276;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204835.892;20180608-204835.679;37.7888069;-122.400894;65;309.8;276.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204836.893;20180608-204835.679;37.7888069;-122.400894;65;305.6;277.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204837.893;20180608-204835.679;37.7888069;-122.400894;65;301.3;277.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204838.894;20180608-204835.679;37.7888069;-122.400894;65;297.1;278.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204839.894;20180608-204835.679;37.7888069;-122.400894;65;293;278.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204840.895;20180608-204835.679;37.7888069;-122.400894;65;293;278.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204841.895;20180608-204835.679;37.7888069;-122.400894;65;293;279.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204842.896;20180608-204842.079;37.7888145;-122.40081;65;301.6;279.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204843.896;20180608-204842.079;37.7888145;-122.40081;65;330.3;280.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204844.897;20180608-204842.079;37.7888145;-122.40081;65;47.5;281.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204845.897;20180608-204842.079;37.7888145;-122.40081;65;76.2;281.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
