#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view;heading smoothing strategy;orientation smoothing strategy
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-204933.364;20180608-204929.739;37.7890778;-122.401474;65;160.4;244;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-204934.352;20180608-204929.739;37.7890778;-122.401474;65;160.4;245.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-204935.353;20180608-204929.739;37.7890778;-122.401474;65;160.4;249.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180608-204936.354;20180608-204936.255;37.7889977;-122.401169;65;104.7;248;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-204937.355;20180608-204936.255;37.7889977;-122.401169;65;104.7;244.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-204938.356;20180608-204936.255;37.7889977;-122.401169;65;104.7;243.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-204939.355;20180608-204936.255;37.7889977;-122.401169;65;104.7;253.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-204940.357;20180608-204936.255;37.7889977;-122.401169;65;104.7;247.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-204941.354;20180608-204936.255;37.7889977;-122.401169;65;104.7;247.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180608-204942.355;20180608-204936.255;37.7889977;-122.401169;65;104.7;250.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
