#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view;heading smoothing strategy;orientation smoothing strategy
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204933.359;20180608-204929.739;37.7890778;-122.401474;65;166.9;235.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204934.351;20180608-204929.739;37.7890778;-122.401474;65;160.4;245.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204935.351;20180608-204929.739;37.7890778;-122.401474;65;160.4;246.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204936.352;20180608-204936.255;37.7889977;-122.401169;65;150.1;247.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204937.353;20180608-204936.255;37.7889977;-122.401169;65;138.6;246.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204938.353;20180608-204936.255;37.7889977;-122.401169;65;126.5;246.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204939.354;20180608-204936.255;37.7889977;-122.401169;65;115;247.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204940.355;20180608-204936.255;37.7889977;-122.401169;65;104.7;247.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204941.354;20180608-204936.255;37.7889977;-122.401169;65;104.7;247.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204942.354;20180608-204936.255;37.7889977;-122.401169;65;104.7;248.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204943.355;20180608-204942.764;37.7890968;-122.401062;65;94.2;248.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204944.356;20180608-204942.764;37.7890968;-122.401062;65;82.2;248;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204945.356;20180608-204942.764;37.7890968;-122.401062;65;69.7;247.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
