#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view;heading smoothing strategy;orientation smoothing strategy
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204933.364;20180608-204929.739;37.7890778;-122.401474;65;163;241.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204934.352;20180608-204929.739;37.7890778;-122.401474;65;160.4;245.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204935.353;20180608-204929.739;37.7890778;-122.401474;65;160.4;246.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204936.353;20180608-204936.255;37.7889977;-122.401169;65;151.9;246.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204937.354;20180608-204936.255;37.7889977;-122.401169;65;137.6;246.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204938.355;20180608-204936.255;37.7889977;-122.401169;65;122.6;246.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204939.355;20180608-204936.255;37.7889977;-122.401169;65;108.8;246.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204940.356;20180608-204936.255;37.7889977;-122.401169;65;104.7;247.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204941.354;20180608-204936.255;37.7889977;-122.401169;65;104.7;247.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204942.355;20180608-204936.255;37.7889977;-122.401169;65;104.7;249.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204943.356;20180608-204942.764;37.7890968;-122.401062;65;96.1;248.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204944.357;20180608-204942.764;37.7890968;-122.401062;65;81.2;247.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204945.356;20180608-204942.764;37.7890968;-122.401062;65;65.6;247.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204946.357;20180608-204942.764;37.7890968;-122.401062;65;51.4;247.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204947.357;20180608-204942.764;37.7890968;-122.401062;65;47.2;249.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204948.358;20180608-204942.764;37.7890968;-122.401062;65;47.2;250.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204949.359;20180608-204949.271;37.78913;-122.401016;65;48.4;250.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204950.359;20180608-204949.271;37.78913;-122.401016;65;50.1;251.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204951.359;20180608-204949.271;37.78913;-122.401016;65;51.9;250.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204952.360;20180608-204949.271;37.78913;-122.401016;65;53.6;251.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204953.361;20180608-204949.271;37.78913;-122.401016;65;54.2;252.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204954.361;20180608-204949.271;37.78913;-122.401016;65;54.2;250.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
